team,elo_rating,rank,as_of
Argentina,2074,1,2026-06-01
Francia,2056,2,2026-06-01
Inglaterra,2036,3,2026-06-01
Brasil,2030,4,2026-06-01
España,2016,5,2026-06-01
Bélgica,1998,6,2026-06-01
Portugal,1992,7,2026-06-01
Alemania,1982,8,2026-06-01
Países Bajos,1970,9,2026-06-01
Croacia,1958,10,2026-06-01
Marruecos,1921,11,2026-06-01
Uruguay,1908,12,2026-06-01
Colombia,1895,13,2026-06-01
Japón,1880,14,2026-06-01
Senegal,1862,15,2026-06-01
México,1845,16,2026-06-01
Dinamarca,1840,17,2026-06-01
Austria,1836,18,2026-06-01
Suiza,1830,19,2026-06-01
Estados Unidos,1826,20,2026-06-01
Irán,1814,21,2026-06-01
Corea del Sur,1811,22,2026-06-01
Serbia,1808,23,2026-06-01
Ecuador,1795,24,2026-06-01
Australia,1790,25,2026-06-01
Polonia,1784,26,2026-06-01
Turquía,1778,27,2026-06-01
Nigeria,1765,28,2026-06-01
Costa de Marfil,1755,29,2026-06-01
Ghana,1742,30,2026-06-01
Canadá,1738,31,2026-06-01
Egipto,1730,32,2026-06-01
Arabia Saudita,1718,33,2026-06-01
Venezuela,1706,34,2026-06-01
Camerún,1698,35,2026-06-01
Escocia,1692,36,2026-06-01
Hungría,1685,37,2026-06-01
Malí,1678,38,2026-06-01
Sudáfrica,1665,39,2026-06-01
Honduras,1650,40,2026-06-01
Eslovenia,1644,41,2026-06-01
Albania,1638,42,2026-06-01
Panamá,1630,43,2026-06-01
Nueva Zelanda,1595,44,2026-06-01
Jamaica,1588,45,2026-06-01
Jordania,1572,46,2026-06-01
Irak,1564,47,2026-06-01
Uzbekistán,1548,48,2026-06-01
