group_id,group_name,team_id,position
A,Grupo A,MEX,1
A,Grupo A,KOR,2
A,Grupo A,RSA,3
A,Grupo A,CZE,4
B,Grupo B,CAN,1
B,Grupo B,SUI,2
B,Grupo B,BIH,3
B,Grupo B,QAT,4
C,Grupo C,BRA,1
C,Grupo C,MAR,2
C,Grupo C,HAI,3
C,Grupo C,SCO,4
D,Grupo D,USA,1
D,Grupo D,PAR,2
D,Grupo D,AUS,3
D,Grupo D,TUR,4
E,Grupo E,GER,1
E,Grupo E,ECU,2
E,Grupo E,CIV,3
E,Grupo E,CUW,4
F,Grupo F,NED,1
F,Grupo F,JPN,2
F,Grupo F,SWE,3
F,Grupo F,TUN,4
G,Grupo G,BEL,1
G,Grupo G,IRN,2
G,Grupo G,EGY,3
G,Grupo G,NZL,4
H,Grupo H,ESP,1
H,Grupo H,URU,2
H,Grupo H,KSA,3
H,Grupo H,CPV,4
I,Grupo I,FRA,1
I,Grupo I,SEN,2
I,Grupo I,NOR,3
I,Grupo I,IRQ,4
J,Grupo J,ARG,1
J,Grupo J,ALG,2
J,Grupo J,AUT,3
J,Grupo J,JOR,4
K,Grupo K,POR,1
K,Grupo K,COL,2
K,Grupo K,COD,3
K,Grupo K,UZB,4
L,Grupo L,ENG,1
L,Grupo L,CRO,2
L,Grupo L,GHA,3
L,Grupo L,PAN,4
